station_id,fuel_code,price_eur,date
2021,avtoplin-lpg,1.049,2026-04-08
2022,95,1.653,2026-04-08
2022,dizel,1.894,2026-04-08
2022,100,1.905,2026-04-08
2022,KOEL,1.555,2026-04-08
2023,95,1.653,2026-04-08
2023,dizel,1.894,2026-04-08
2023,100,1.905,2026-04-08
2024,95,1.653,2026-04-08
2024,dizel,1.894,2026-04-08
2024,100,1.905,2026-04-08
2024,KOEL,1.555,2026-04-08
2025,95,1.653,2026-04-08
2025,dizel,1.894,2026-04-08
2025,avtoplin-lpg,1.049,2026-04-08
2025,KOEL,1.555,2026-04-08
2028,95,1.653,2026-04-08
2028,dizel,1.894,2026-04-08
2028,100,1.905,2026-04-08
2028,avtoplin-lpg,1.049,2026-04-08
2029,95,1.653,2026-04-08
2029,dizel,1.894,2026-04-08
2029,100,1.905,2026-04-08
2029,dizel-premium,2.369,2026-04-08
2029,avtoplin-lpg,1.049,2026-04-08
2033,95,1.653,2026-04-08
2033,dizel,1.894,2026-04-08
2033,100,1.905,2026-04-08
2033,dizel-premium,2.369,2026-04-08
2033,avtoplin-lpg,1.049,2026-04-08
2034,95,1.653,2026-04-08
2034,dizel,1.894,2026-04-08
2034,100,1.905,2026-04-08
2034,avtoplin-lpg,1.049,2026-04-08
2036,95,1.653,2026-04-08
2036,dizel,1.894,2026-04-08
2036,100,1.905,2026-04-08
2037,95,1.653,2026-04-08
2037,dizel,1.894,2026-04-08
2037,100,1.905,2026-04-08
2038,95,1.653,2026-04-08
2038,dizel,1.894,2026-04-08
2039,95,1.653,2026-04-08
2039,dizel,1.894,2026-04-08
2039,100,1.905,2026-04-08
2040,95,1.653,2026-04-08
2040,dizel,1.894,2026-04-08
2040,100,1.905,2026-04-08
2040,KOEL,1.555,2026-04-08
2041,95,1.653,2026-04-08
2041,dizel,1.894,2026-04-08
2041,100,1.905,2026-04-08
2042,95,1.653,2026-04-08
2042,dizel,1.894,2026-04-08
2042,KOEL,1.555,2026-04-08
2043,95,1.653,2026-04-08
2043,dizel,1.894,2026-04-08
2043,100,1.905,2026-04-08
2044,95,1.653,2026-04-08
2044,dizel,1.894,2026-04-08
2044,100,1.905,2026-04-08
2045,95,1.653,2026-04-08
2045,dizel,1.894,2026-04-08
2045,100,1.905,2026-04-08
2046,95,1.653,2026-04-08
2046,dizel,1.894,2026-04-08
2046,100,1.905,2026-04-08
2046,dizel-premium,2.369,2026-04-08
2046,avtoplin-lpg,1.049,2026-04-08
2047,95,1.653,2026-04-08
2047,dizel,1.894,2026-04-08
2048,95,1.653,2026-04-08
2048,dizel,1.894,2026-04-08
2048,100,1.905,2026-04-08
2048,avtoplin-lpg,1.049,2026-04-08
2049,95,1.653,2026-04-08
